SaleID,SaleDate,CustomerID,ProductID,Quantity,UnitPrice,Discount,StoreID
S00100001,2025-09-19,C001335,P00982,1,888.39,14.64,ST009
S00100002,2025-08-03,C001637,P00341,9,797.39,13.54,ST003
S00100003,2025-09-17,C006526,P00178,10,436.74,9.53,ST018
S00100004,2026-05-28,C007859,P00632,7,529.39,15.98,ST013
S00100005,2024-12-31,C001112,P00553,8,110.88,10.74,ST004
S00100006,2025-02-26,C007520,P00690,1,709.89,12.08,ST003
S00100007,2026-04-16,C002110,P00046,5,240.46,6.14,ST004
S00100008,2026-04-15,C007254,P00656,5,406.7,10.01,ST015
S00100009,2025-01-08,C009609,P00270,8,17.74,3.19,ST011
S00100010,2025-03-21,C008329,P00249,7,674.97,12.06,ST015
S00100011,2024-08-21,C005999,P00292,4,773.41,7.39,ST005
S00100012,2024-10-08,C007221,P00387,8,136.01,2.68,ST012
S00100013,2025-08-17,C002307,P00885,7,902.2,13.69,ST017
S00100014,2025-10-27,C004062,P00894,1,846.85,16.57,ST003
S00100015,2024-12-19,C004046,P00330,5,865.42,1.7,ST002
S00100016,2026-06-11,C008750,P00918,8,624.68,15.26,ST020
S00100017,2024-11-19,C003101,P00278,9,557.69,4.92,ST012
S00100018,2026-01-19,C006129,P00368,1,711.7,12.9,ST017
S00100019,2025-11-20,C001457,P00279,2,279.62,0.64,ST002
S00100020,2026-03-09,C000932,P00624,8,128.36,4.21,ST019
S00100021,2026-06-28,C005658,P00888,1,447.31,19.56,ST006
S00100022,2024-11-17,C005503,P00542,6,965.07,8.51,ST006
S00100023,2024-09-21,C009537,P00269,8,657.44,3.87,ST006
S00100024,2026-05-16,C002349,P00412,4,753.63,2.03,ST018
S00100025,2025-07-01,C004284,P00804,1,998.91,0.39,ST013
S00100026,2025-01-08,C005855,P00800,6,822.34,2.17,ST020
S00100027,2025-02-23,C006594,P00215,7,957.74,8.36,ST003
S00100028,2026-03-22,C000201,P00467,7,238.95,6.55,ST003
S00100029,2024-11-06,C007522,P00696,3,628.81,9.9,ST013
S00100030,2026-07-09,C004230,P00754,6,519.45,2.1,ST017
S00100031,2025-10-19,C008853,P00525,6,655.24,11.71,ST017
S00100032,2026-07-10,C002874,P00051,3,376.48,0.16,ST009
S00100033,2025-02-15,C001798,P00253,10,81.82,11.19,ST004
S00100034,2024-08-07,C007707,P00354,6,124.19,12.9,ST002
S00100035,2025-12-13,C004698,P00061,7,989.63,14.45,ST005
S00100036,2024-10-09,C003870,P00261,10,882.06,0.37,ST015
S00100037,2025-11-01,C006724,P00908,7,747.22,9.77,ST014
S00100038,2025-02-27,C005068,P00431,9,115.52,19.07,ST008
S00100039,2024-12-28,C009664,P00272,4,306.38,15.88,ST019
S00100040,2025-05-13,C006152,P00715,8,498.86,13.07,ST003
S00100041,2025-07-27,C005742,P00586,2,251.42,15.86,ST008
S00100042,2025-04-04,C009632,P00409,10,636.61,9.26,ST008
S00100043,2024-09-12,C004880,P00040,5,581.58,12.99,ST009
S00100044,2026-03-18,C008413,P00364,2,516.31,17.92,ST009
S00100045,2024-08-09,C007769,P00432,10,430.89,16.11,ST011
S00100046,2025-01-17,C003572,P00418,7,480.38,7.47,ST011
S00100047,2025-06-07,C008648,P00775,4,556.73,0.83,ST017
S00100048,2024-08-26,C002618,P00040,8,581.58,18.91,ST006
S00100049,2024-10-22,C004979,P00295,5,743.82,13.14,ST001
S00100050,2025-10-29,C000911,P00414,9,232.39,9.43,ST002
S00100051,2025-04-06,C001588,P00421,1,420.3,7.23,ST015
S00100052,2025-05-17,C006798,P00738,3,100.33,17.81,ST001
S00100053,2026-07-11,C005046,P00448,10,509.73,9.73,ST019
S00100054,2025-08-23,C007419,P00403,7,478.45,17.68,ST012
S00100055,2026-05-10,C002216,P00389,2,940.96,14.15,ST017
S00100056,2025-07-16,C007403,P00294,2,269.34,15.85,ST003
S00100057,2025-06-23,C008907,P00150,4,318.6,4.37,ST016
S00100058,2025-06-06,C002495,P00097,3,996.16,14.44,ST019
S00100059,2025-02-12,C001019,P00376,9,79.27,11.84,ST002
S00100060,2026-05-18,C002850,P00313,2,257.03,14.03,ST001
S00100061,2025-10-06,C007677,P00044,3,296.49,11.12,ST018
