SaleID,SaleDate,CustomerID,ProductID,Quantity,UnitPrice,Discount,StoreID
S00000001,2025-11-05,C006019,P00102,9,723.51,18.03,ST012
S00000002,2024-08-13,C006524,P00063,5,561.38,3.8,ST004
S00000003,2025-02-12,C007451,P00972,2,72.58,13.26,ST020
S00000004,2025-01-05,C000350,P00995,1,952.01,15.74,ST008
S00000005,2026-01-15,C009251,P00129,4,879.93,1.37,ST018
S00000006,2025-12-02,C009608,P00213,4,460.46,16.26,ST008
S00000007,2026-05-09,C002418,P00337,10,230.21,0.06,ST005
S00000008,2024-09-27,C008851,P00134,5,947.48,15.97,ST004
S00000009,2025-05-30,C000423,P00677,3,742.69,0.3,ST008
S00000010,2024-08-16,C005305,P00603,1,493.69,3.48,ST002
S00000011,2025-01-01,C006898,P00130,9,833.35,2.27,ST003
S00000012,2025-07-30,C007345,P00488,6,750.04,10.26,ST004
S00000013,2024-08-14,C008255,P00463,4,279.0,18.91,ST002
S00000014,2024-12-18,C008544,P00745,5,295.34,9.16,ST001
S00000015,2025-11-13,C007848,P00063,7,561.38,8.53,ST004
S00000016,2025-08-28,C007268,P00503,2,400.08,17.99,ST011
S00000017,2025-01-03,C002431,P00623,2,200.66,2.52,ST020
S00000018,2025-09-29,C009591,P00649,9,474.7,14.24,ST013
S00000019,2026-03-09,C008693,P00612,5,313.14,9.07,ST020
S00000020,2024-07-30,C001625,P00441,2,670.9,17.06,ST018
S00000021,2026-03-07,C003523,P00739,7,354.48,9.03,ST008
S00000022,2025-12-18,C005554,P00424,8,699.39,7.97,ST004
S00000023,2025-03-31,C006993,P00321,6,865.96,13.3,ST012
S00000024,2024-11-16,C002501,P00977,8,148.38,1.34,ST003
S00000025,2026-06-25,C007076,P00096,2,387.8,14.89,ST012
S00000026,2025-03-29,C002132,P00832,9,445.9,1.2,ST018
S00000027,2024-10-01,C005401,P00576,2,810.12,8.22,ST014
S00000028,2024-10-04,C000843,P00889,5,352.11,12.01,ST012
S00000029,2026-04-06,C009469,P00107,9,120.44,4.25,ST016
S00000030,2025-10-10,C001774,P00230,6,961.17,16.91,ST012
S00000031,2026-03-08,C004565,P00118,10,642.56,4.52,ST014
S00000032,2026-01-10,C009191,P00866,10,798.18,12.27,ST018
S00000033,2025-08-21,C009978,P00027,5,101.82,0.58,ST009
S00000034,2026-07-07,C005063,P00720,6,257.86,7.02,ST006
S00000035,2025-04-28,C002348,P00891,10,642.55,13.15,ST003
S00000036,2025-09-02,C000503,P00146,2,219.68,14.92,ST007
S00000037,2026-03-24,C006879,P00386,8,302.7,6.82,ST012
S00000038,2025-10-21,C005315,P00320,10,930.58,11.92,ST002
S00000039,2026-04-16,C002580,P00160,10,228.02,1.0,ST003
S00000040,2025-09-21,C007260,P00279,7,279.62,9.71,ST015
S00000041,2025-12-23,C004476,P00425,4,499.43,15.1,ST004
S00000042,2024-08-28,C007044,P00354,2,124.19,5.66,ST019
S00000043,2025-01-08,C008634,P00499,5,472.72,0.91,ST013
S00000044,2025-02-22,C000898,P00614,1,478.53,4.09,ST007
S00000045,2024-09-22,C002249,P00786,5,836.38,5.79,ST004
S00000046,2025-01-12,C008150,P00008,7,96.07,3.51,ST013
S00000047,2024-10-07,C003771,P00546,9,680.57,11.17,ST012
S00000048,2025-02-14,C006506,P00074,1,321.53,8.72,ST015
S00000049,2025-11-02,C001276,P00944,6,749.09,11.52,ST019
S00000050,2025-04-18,C006844,P00415,5,207.14,2.3,ST001
S00000051,2025-04-22,C005322,P00990,3,162.98,16.03,ST020
S00000052,2024-12-26,C005929,P00472,2,547.19,8.73,ST004
S00000053,2025-02-06,C007139,P00250,10,307.0,8.01,ST003
S00000054,2026-06-10,C005084,P00406,6,177.99,4.43,ST006
S00000055,2025-11-11,C008364,P00079,2,272.23,10.61,ST007
S00000056,2025-10-14,C005725,P00928,6,583.78,14.55,ST005
S00000057,2024-11-28,C001685,P00242,3,587.84,5.12,ST006
S00000058,2026-01-09,C002505,P00617,2,748.48,3.54,ST016
S00000059,2024-11-22,C009237,P00476,10,905.79,8.98,ST019
