SaleID,SaleDate,CustomerID,ProductID,Quantity,UnitPrice,Discount,StoreID
S00200001,2026-05-27,C007002,P00566,1,824.11,14.31,ST004
S00200002,2024-10-06,C008367,P00935,8,544.01,14.44,ST019
S00200003,2025-05-29,C005386,P00552,7,630.97,2.93,ST004
S00200004,2025-12-05,C001086,P00577,10,542.79,15.09,ST019
S00200005,2024-12-03,C005403,P00076,1,401.68,15.99,ST019
S00200006,2025-11-28,C008579,P00417,3,252.39,14.77,ST018
S00200007,2025-06-15,C009866,P00378,9,336.9,0.96,ST001
S00200008,2026-07-16,C002362,P00750,7,321.37,16.02,ST005
S00200009,2025-03-15,C007053,P00252,4,754.35,18.93,ST018
S00200010,2025-09-13,C003329,P00015,5,653.39,13.87,ST018
S00200011,2025-02-23,C002743,P00239,5,598.57,12.21,ST012
S00200012,2025-09-12,C004058,P00459,6,630.48,17.11,ST006
S00200013,2025-08-01,C008253,P00220,1,303.74,15.07,ST007
S00200014,2025-07-30,C004652,P00662,3,310.8,3.82,ST012
S00200015,2025-07-11,C001260,P00315,10,782.32,3.9,ST003
S00200016,2024-09-19,C005558,P00862,1,449.24,18.58,ST019
S00200017,2025-11-30,C006679,P00627,1,193.3,4.42,ST002
S00200018,2026-02-11,C004601,P00867,5,300.43,12.45,ST012
S00200019,2025-05-28,C006029,P00688,9,298.35,1.31,ST017
S00200020,2024-09-27,C005014,P00052,1,217.41,12.16,ST014
S00200021,2025-06-27,C004542,P00741,6,673.43,7.78,ST006
S00200022,2024-09-22,C004202,P00379,1,320.78,8.69,ST008
S00200023,2026-01-06,C009776,P00946,2,124.02,17.49,ST005
S00200024,2024-07-28,C004502,P00054,10,937.29,18.7,ST013
S00200025,2026-04-14,C002560,P00116,10,871.81,12.89,ST015
S00200026,2025-06-11,C004140,P00482,2,15.84,1.44,ST011
S00200027,2024-11-15,C009511,P00576,9,810.12,9.97,ST011
S00200028,2026-04-01,C002132,P00527,2,950.12,17.94,ST006
S00200029,2026-07-24,C008368,P00154,2,522.4,3.01,ST011
S00200030,2025-04-07,C007255,P00801,5,290.01,9.5,ST010
S00200031,2026-03-30,C008073,P00990,9,162.98,13.38,ST012
S00200032,2025-05-24,C005118,P00314,9,111.77,4.45,ST004
S00200033,2025-07-03,C005764,P00442,8,988.01,1.87,ST003
S00200034,2026-04-27,C002511,P00316,4,885.29,5.29,ST017
S00200035,2025-12-16,C007985,P00838,8,162.82,3.33,ST014
S00200036,2025-03-10,C001282,P00314,10,111.77,15.02,ST020
S00200037,2026-04-28,C006879,P00166,8,80.15,2.48,ST014
S00200038,2025-11-10,C007676,P00592,1,190.02,3.15,ST003
S00200039,2025-12-23,C005264,P00930,6,99.23,7.16,ST001
S00200040,2025-06-29,C001487,P00409,2,636.61,11.14,ST017
S00200041,2025-06-13,C001387,P00624,2,128.36,13.18,ST013
S00200042,2025-03-12,C004664,P00693,10,690.51,4.58,ST018
S00200043,2025-01-03,C006557,P00894,2,846.85,15.1,ST010
S00200044,2025-07-12,C002206,P00091,9,118.55,4.37,ST020
S00200045,2025-04-06,C000045,P00802,4,305.57,19.41,ST009
S00200046,2026-07-03,C001191,P00048,5,285.19,16.18,ST020
S00200047,2025-12-25,C002488,P00690,6,709.89,10.17,ST014
S00200048,2026-06-16,C008479,P00582,4,853.2,17.95,ST019
S00200049,2024-09-19,C000516,P00420,2,82.1,5.34,ST015
S00200050,2025-05-20,C008768,P00268,9,987.36,8.15,ST018
S00200051,2026-03-01,C002664,P00708,10,573.51,15.8,ST006
S00200052,2025-12-05,C007418,P00239,4,598.57,4.61,ST001
S00200053,2026-03-22,C007170,P00702,8,909.33,5.96,ST010
S00200054,2026-07-24,C005127,P00920,5,723.72,15.28,ST004
S00200055,2025-12-10,C001684,P00055,9,651.56,12.97,ST018
S00200056,2025-03-15,C001509,P00747,7,815.43,7.3,ST007
